Month, Total
2022-12-01,28.0560827925
2023-01-01,82.008272619
2023-02-01,69.649618311
2023-03-01,74.836794123
2023-04-01,59.448412569
2023-05-01,92.6206953945
2023-06-01,86.335253823
2023-07-01,47.5149031875
2023-08-01,57.24320469
2023-09-01,67.4209774245
2023-10-01,83.121696252
2023-11-01,80.163672183
2023-12-01,60.209606646
2024-01-01,69.4042110825
2024-02-01,61.841638845
2024-03-01,61.210289805
2024-04-01,66.859985808
2024-05-01,67.81096476
2024-06-01,50.902362819
2024-07-01,51.317349951
2024-08-01,55.244911407
2024-09-01,48.569202612
2024-10-01,49.791620697
2024-11-01,49.4195151765
2024-12-01,31.942779015
